Function,Header,Status,Prototype exists,Implemented in,Doom call sites,Files,Behavioural difference / notes
abs,stdlib.h,REAL*,yes,src/stdlib.c,30,g_game m_fixed p_enemy p_map p_maputl r_main r_plane r_segs r_things s_sound,abs(INT_MIN) returns INT_MIN rather than being undefined. Defined-but-negative instead of UB; no caller in Doom passes INT_MIN.
atoi,stdlib.h,REAL*,yes,src/stdlib.c,9,d_loop d_main g_game i_system i_video,"Clamps to INT_MAX/INT_MIN on overflow instead of being undefined, and accumulates in long so the clamp is exact. Never sets errno (nothing does)."
free,stdlib.h,REAL*,yes,src/stdlib.c -> kfree,15,d_iwad d_main i_system m_config m_misc v_video w_wad,"Silently refuses (with a serial warning) any pointer into the permanent bump region kmalloc hands out before page_alloc_init. Such a free is a no-op, not a fault."
malloc,stdlib.h,REAL*,yes,src/stdlib.c -> kmalloc,18,d_iwad d_main doomgeneric i_system m_argv m_config m_misc p_saveg v_video,"Two allocators behind one name: a one-way bump allocator until page_alloc_init() runs, heap_alloc after. Bump-phase allocations are 4K-aligned and can never be freed. Doom allocates long after the handoff, so it always gets the real heap."
realloc,stdlib.h,REAL*,yes,src/stdlib.c -> krealloc,1,w_checksum,Returns NULL (with a serial warning) for a bump-region pointer rather than moving it.
memcpy,string.h,REAL*,yes,src/string.c,39,d_loop f_finale f_wipe g_game i_endoom i_scale i_video m_cheat memio p_mobj r_data r_draw r_segs r_things sha1 statdump v_video w_wad,"Correct, but byte-at-a-time with no word or SIMD fast path. Doom calls it from r_draw/v_video/f_wipe on framebuffer-sized spans every frame, so this is the shim's most likely performance problem, not a correctness one."
memset,string.h,REAL*,yes,src/string.c,41,am_map d_loop g_game i_scale i_system i_video m_argv m_misc p_mobj p_saveg p_setup p_spec r_data r_plane r_things sha1 v_video w_wad,"Same as memcpy: correct, byte-at-a-time, on the per-frame path."
strlen,string.h,REAL,yes,src/string.c,56,d_iwad d_main f_finale g_game i_system m_cheat m_config m_menu m_misc p_saveg sha1 w_wad,
strcmp,string.h,REAL,yes,src/string.c,11,d_iwad d_main i_video m_config m_menu m_misc p_saveg statdump,
strchr,string.h,REAL,yes,src/string.c,3,d_iwad i_system m_menu,
strncpy,string.h,REAL,yes,src/string.c,2,m_misc w_wad,"Standard, including the standard footgun: no NUL terminator when the source is at least n bytes."
strcasecmp,strings.h,REAL*,yes,src/string.c,9,d_iwad d_main i_system m_argv w_wad,"ASCII / C locale only -- no locale support exists. Correct for WAD lump and argv comparisons, which is all Doom uses it for."
strncasecmp,strings.h,REAL*,yes,src/string.c,7,d_main m_misc r_data r_things w_wad,ASCII / C locale only.
toupper,ctype.h,REAL*,yes,src/ctype.c,11,f_finale hu_lib m_menu m_misc w_wad,"ASCII only. Passes EOF through unchanged, as required."
printf,stdio.h,REAL*,yes,src/stdio.c,94,d_iwad d_loop d_main d_net g_game i_joystick i_scale i_system i_video m_argv m_config m_misc memio mus2mid p_setup r_data r_main statdump v_video w_main w_wad wi_stuff z_zone,"Supports %d %i %u %x %p %c %s %% with field width and the '-' and '0' flags. NO precision, no length modifiers, no %X/%o/%f/%e/%g. An unsupported conversion is echoed verbatim AND ITS ARGUMENT IS NOT CONSUMED, which desynchronises every later conversion in the same call. See the md."
putchar,stdio.h,REAL*,yes,src/stdio.c,3,i_system,Writes to COM1 serial. There is no stdout to write to.
puts,stdio.h,REAL*,yes,src/stdio.c,4,i_endoom i_scale i_system,Writes to COM1 serial.
fopen,stdio.h,MISSING,yes,-,14,g_game m_argv m_config m_menu m_misc statdump v_video w_file_stdc w_wad,No filesystem exists. The intended answer for the WAD is not real file I/O but the memory-mapped reader in docs/architecture.md sec7: fopen returns a FILE* backed by a pointer into the mapped multiboot module.
fclose,stdio.h,MISSING,yes,-,14,g_game m_argv m_config m_menu m_misc statdump v_video w_file_stdc w_wad,
fread,stdio.h,MISSING,yes,-,5,m_argv m_menu m_misc p_saveg w_file_stdc,Becomes a memcpy out of the mapped WAD under the mmap design.
fwrite,stdio.h,MISSING,yes,-,2,m_misc p_saveg,Only savegames and config need it; both could go to a RAM-backed file.
fseek,stdio.h,MISSING,yes,-,3,m_misc w_file_stdc,Offset arithmetic under the mmap design.
ftell,stdio.h,MISSING,yes,-,5,g_game m_misc p_saveg,
fflush,stdio.h,MISSING,yes,-,4,i_scale i_system,
fprintf,stdio.h,MISSING,yes,-,65,g_game hu_stuff i_system m_config m_menu mus2mid p_doors p_map p_saveg p_setup p_spec st_stuff statdump w_wad z_zone,"The single most-called missing function. Most call sites are fprintf(stderr, ...) diagnostics, which can route to serial like printf; only m_config's config writer genuinely needs a file."
vfprintf,stdio.h,MISSING,yes,-,1,i_system,
snprintf,stdio.h,MISSING,yes,-,1,"m_misc (and every DEH_snprintf, which is #defined to snprintf)","Cheapest of the block to finish: kvprintf already takes an arbitrary sink, so this is that core plus a bounded-buffer emit. SCRUM-21 owns it. Inherits printf's missing precision -- which is what breaks lump-name construction."
vsnprintf,stdio.h,MISSING,yes,-,4,m_misc (M_vsnprintf),Same as snprintf; M_snprintf/M_vsnprintf funnel through it.
sscanf,stdio.h,MISSING,yes,-,6,m_config m_misc,"Needs %d, %x and %o (M_StrToInt tries all three) plus %s. No parsing machinery exists in the shim at all -- this is a from-scratch item, not a sink swap like the printf family."
remove,stdio.h,MISSING,yes,-,1,g_game,Savegame rotation only.
rename,stdio.h,MISSING,yes,-,1,g_game,Savegame rotation only.
stdout,stdio.h,MISSING,yes,-,0,"i_scale (referenced, not called)","An object, not a function: extern FILE *. Needs a value once FILE exists."
stderr,stdio.h,MISSING,yes,-,0,"8 objects reference it, all as fprintf's first argument","An object, not a function. The obvious binding is 'the serial port'."
